id,Gemeente,Indicator,Aantal,
420,0,Medemblik,Aantal,
938,0,Meerssen,Aantal,
1948,0,Meierijstad,Aantal,
119,0,Meppel,Aantal,
687,0,Middelburg,Aantal,
1842,0,Midden-Delfland,Aantal,
1731,0,Midden-Drenthe,Aantal,
1952,0,Midden-Groningen,Aantal,
815,0,Mill en Sint Hubert,Aantal,
1709,0,Moerdijk,Aantal,
1978,0,Molenlanden,Aantal,
1955,0,Montferland,Aantal,
335,0,Montfoort,Aantal,
944,0,Mook en Middelaar,Aantal,
1740,0,Neder-Betuwe,Aantal,
946,0,Nederweert,Aantal,
356,0,Nieuwegein,Aantal,
569,0,Nieuwkoop,Aantal,
267,0,Nijkerk,Aantal,
268,0,Nijmegen,Aantal,
1930,0,Nissewaard,Aantal,
1970,0,Noardeast-Fryslân,Aantal,
1695,0,Noord-Beveland,Aantal,
1699,0,Noordenveld,Aantal,
171,0,Noordoostpolder,Aantal,
575,0,Noordwijk,Aantal,
820,0,"Nuenen,  Gerwen en Nederwetten",Aantal,
302,0,Nunspeet,Aantal,
579,0,Oegstgeest,Aantal,
823,0,Oirschot,Aantal,
824,0,Oisterwijk,Aantal,
1895,0,Oldambt,Aantal,
269,0,Oldebroek,Aantal,
173,0,Oldenzaal,Aantal,
1773,0,Olst-Wijhe,Aantal,
175,0,Ommen,Aantal,
1586,0,Oost Gelre,Aantal,
826,0,Oosterhout,Aantal,
85,0,Ooststellingwerf,Aantal,
431,0,Oostzaan,Aantal,
432,0,Opmeer,Aantal,
86,0,Opsterland,Aantal,
828,0,Oss,Aantal,1
1509,0,Oude IJsselstreek,Aantal,
437,0,Ouder-Amstel,Aantal,
589,0,Oudewater,Aantal,
1734,0,Overbetuwe,Aantal,
590,0,Papendrecht,Aantal,
1894,0,Peel en Maas,Aantal,
765,0,Pekela,Aantal,
1926,0,Pijnacker-Nootdorp,Aantal,2
439,0,Purmerend,Aantal,
273,0,Putten,Aantal,
177,0,Raalte,Aantal,
703,0,Reimerswaal,Aantal,
274,0,Renkum,Aantal,
339,0,Renswoude,Aantal,
1667,0,Reusel-De Mierden,Aantal,
275,0,Rheden,Aantal,
340,0,Rhenen,Aantal,
597,0,Ridderkerk,Aantal,
1742,0,Rijssen-Holten,Aantal,
603,0,Rijswijk,Aantal,
1669,0,Roerdalen,Aantal,
957,0,Roermond,Aantal,
1674,0,Roosendaal,Aantal,
599,0,Rotterdam,Aantal,5
277,0,Rozendaal,Aantal,
840,0,Rucphen,Aantal,
441,0,Schagen,Aantal,
279,0,Scherpenzeel,Aantal,
606,0,Schiedam,Aantal,
88,0,Schiermonnikoog,Aantal,
1676,0,Schouwen-Duiveland,Aantal,
518,0,'s-Gravenhage,Aantal,
796,0,'s-Hertogenbosch,Aantal,
965,0,Simpelveld,Aantal,
1702,0,Sint Anthonis,Aantal,
845,0,Sint-Michielsgestel,Aantal,1
1883,0,Sittard-Geleen,Aantal,2
610,0,Sliedrecht,Aantal,
1714,0,Sluis,Aantal,
90,0,Smallingerland,Aantal,
342,0,Soest,Aantal,4
847,0,Someren,Aantal,
848,0,Son en Breugel,Aantal,
37,0,Stadskanaal,Aantal,
180,0,Staphorst,Aantal,
532,0,Stede Broec,Aantal,
851,0,Steenbergen,Aantal,
1708,0,Steenwijkerland,Aantal,
971,0,Stein,Aantal,
1904,0,Stichtse Vecht,Aantal,2
1900,0,Súdwest-Fryslân,Aantal,
715,0,Terneuzen,Aantal,
93,0,Terschelling,Aantal,
448,0,Texel,Aantal,
1525,0,Teylingen,Aantal,
716,0,Tholen,Aantal,
281,0,Tiel,Aantal,
855,0,Tilburg,Aantal,3
183,0,Tubbergen,Aantal,
1700,0,Twenterand,Aantal,
1730,0,Tynaarlo,Aantal,
737,0,Tytsjerksteradiel,Aantal,
856,0,Uden,Aantal,
450,0,Uitgeest,Aantal,
451,0,Uithoorn,Aantal,
184,0,Urk,Aantal,
344,0,Utrecht,Aantal,6
1581,0,Utrechtse Heuvelrug,Aantal,
981,0,Vaals,Aantal,
994,0,Valkenburg aan de Geul,Aantal,
858,0,Valkenswaard,Aantal,
47,0,Veendam,Aantal,
345,0,Veenendaal,Aantal,
717,0,Veere,Aantal,
861,0,Veldhoven,Aantal,
453,0,Velsen,Aantal,
983,0,Venlo,Aantal,
984,0,Venray,Aantal,
1961,0,Vijfheerenlanden,Aantal,
622,0,Vlaardingen,Aantal,
96,0,Vlieland,Aantal,
718,0,Vlissingen,Aantal,
986,0,Voerendaal,Aantal,
626,0,Voorschoten,Aantal,
285,0,Voorst,Aantal,
865,0,Vught,Aantal,
1949,0,Waadhoeke,Aantal,
866,0,Waalre,Aantal,
867,0,Waalwijk,Aantal,
627,0,Waddinxveen,Aantal,
289,0,Wageningen,Aantal,
629,0,Wassenaar,Aantal,
852,0,Waterland,Aantal,
988,0,Weert,Aantal,
457,0,Weesp,Aantal,
1960,0,West Betuwe,Aantal,
668,0,West Maas en Waal,Aantal,
1969,0,Westerkwartier,Aantal,
1701,0,Westerveld,Aantal,
293,0,Westervoort,Aantal,
1950,0,Westerwolde,Aantal,
1783,0,Westland,Aantal,
98,0,Weststellingwerf,Aantal,
614,0,Westvoorne,Aantal,
189,0,Wierden,Aantal,
296,0,Wijchen,Aantal,
1696,0,Wijdemeren,Aantal,
352,0,Wijk bij Duurstede,Aantal,
294,0,Winterswijk,Aantal,
873,0,Woensdrecht,Aantal,
632,0,Woerden,Aantal,
880,0,Wormerland,Aantal,
351,0,Woudenberg,Aantal,
479,0,Zaanstad,Aantal,
297,0,Zaltbommel,Aantal,1
473,0,Zandvoort,Aantal,
50,0,Zeewolde,Aantal,1
355,0,Zeist,Aantal,
299,0,Zevenaar,Aantal,
637,0,Zoetermeer,Aantal,
638,0,Zoeterwoude,Aantal,
1892,0,Zuidplas,Aantal,
879,0,Zundert,Aantal,
301,0,Zutphen,Aantal,
1896,0,Zwartewaterland,Aantal,
642,0,Zwijndrecht,Aantal,
193,0,Zwolle,Aantal,
