"Category";"Aantal per 100.000 inwoners";"Aantal"
"Oegstgeest";12,1;24843
"Oirschot";32;18723
"Oisterwijk";34,3;26241
"Oldambt";2,6;38213
"Oldebroek";25,4;23645
"Oldenzaal";25,1;31832
"Olst-Wijhe";27,4;18251
"Ommen";22,2;18007
"Oost Gelre";6,8;29623
"Oosterhout";41,1;55990
"Ooststellingwerf";3,9;25472
"Oostzaan";20,5;9733
"Opmeer";8,4;11837
"Opsterland";13,4;29742
"Oss";79,4;91932
"Oude IJsselstreek";5,1;39392
"Ouder-Amstel";21,4;14029
"Oudewater";146,7;10226
"Overbetuwe";66,8;47909
"Papendrecht";0;32133
"Peel en Maas";237,2;43420
"Pekela";24,6;12199
"Pijnacker-Nootdorp";16,3;55329
"Purmerend";43,1;81233
"Putten";4,1;24113
"Raalte";37,1;37709
"Reimerswaal";17,6;22728
"Renkum";31,8;31404
"Renswoude";18,4;5448
"Reusel-De Mierden";7,6;13110
"Rheden";45,7;43736
"Rhenen";9,9;20125
"Ridderkerk";39;46204
"Rijssen-Holten";21;38178
"Rijswijk";22;54432
"Roerdalen";63,2;20572
"Roermond";42,9;58254
"Roosendaal";14,2;77226
"Rotterdam";18,4;651376
"Rozendaal";58,7;1705
"Rucphen";13,1;22873
"s-Gravenhage";14,9;545163
"Schagen";21,5;46482
"Scherpenzeel";0;9880
"Schiedam";24,1;78739
"Schiermonnikoog";0;947
"Schouwen-Duiveland";17,7;33858
"Simpelveld";19;10552
"Sint Anthonis";119,9;11672
"Sint-Michielsgestel";47,9;29203
"Sittard-Geleen";26;92422
"Sliedrecht";4;25217
"Sluis";17,2;23217
"Smallingerland";8,9;56154
"Soest";19,3;46607
"Someren";41,3;19376
"Son en Breugel";86,6;17321
"Stadskanaal";0;31688
"Staphorst";5,8;17144
"Stede Broec";46;21734
"Steenbergen";28,6;24501
"Steenwijkerland";13,6;44139
"Stein";44;25000
"Stichtse Vecht";24,6;64928
"Súdwest-Fryslân";13,3;89987
"Terneuzen";20,2;54438
"Terschelling";0;4889
"Texel";7,4;13573
"Teylingen";16;37426
"Tholen";77,6;25758
"Tiel";49,8;42161
"Tilburg";52,3;219800
"Tubbergen";32,9;21279
"Twenterand";14,8;33743
"Tynaarlo";14,8;33879
"Tytsjerksteradiel";3,1;32046
"Uden";159,1;42122
"Uitgeest";22;13649
"Uithoorn";30,5;29466
"Urk";52,3;21033
"Utrecht";21;357694
"Utrechtse Heuvelrug";22,2;49601
"Vaals";19,8;10099
"Valkenburg aan de Geul";12,2;16360
"Valkenswaard";19,2;31200
"Veendam";3,7;27387
"Veenendaal";10,5;66491
"Veere";13,7;21885
"Veldhoven";15,4;45458
"Velsen";18,9;68660
"Venlo";62,9;101797
"Venray";50,5;43604
"Vijfheerenlanden";19,4;56816
"Vlaardingen";16,3;73445
"Vlieland";0;1152
"Vlissingen";11,3;44365
"Voerendaal";16;12471
"Voorschoten";15,6;25603
"Voorst";12,2;24546
"Vught";86,6;26554
"Waadhoeke";4,3;46079
"Waalre";0;17454
"Waalwijk";32,9;48620
"Waddinxveen";13,7;29293
"Wageningen";12,6;39673
"Wassenaar";7,6;26214
"Waterland";45,9;17422
"Weert";53,9;50107
"Weesp";10,1;19729
"West Betuwe";23,4;51198
"West Maas en Waal";46,6;19320
"Westerkwartier";14,2;63375
"Westerveld";5,1;19460
"Westervoort";13,4;14973
"Westerwolde";15,5;25796
"Westland";22,7;110357
"Weststellingwerf";7,7;25916
"Westvoorne";27,2;14728
"Wierden";8,2;24440
"Wijchen";65,7;41124
"Wijdemeren";12,3;24360
